,months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,ages_category,Contract Years,total_premiums_paid,net_value_of_customer,policy_bind_year,scaled_risk,age_at_policy_inception
0,328,48,521585,OH,250/500,1000,1406.91,0,466132,MALE,MD,craft-repair,sleeping,husband,53300,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,71610,6510,13020,52080,Saab,92x,2004,Y,Middle Aged,27.333333333333332,38455.54,-33154.46,2014,0.15283893717450933,20.666666666666668
1,228,42,342868,IN,250/500,2000,1197.22,5000000,468176,MALE,MD,machine-op-inspct,reading,other-relative,0,0,2015-01-21,Vehicle Theft,?,Minor Damage,Police,VA,Riverwood,6608 MLK Hwy,8,1,?,0,0,?,5070,780,780,3510,Mercedes,E400,2007,Y,Middle Aged,19.0,22747.18,17677.18,2006,-0.850662853780975,23.0
2,134,29,687698,OH,100/300,2000,1413.14,5000000,430632,FEMALE,PhD,sales,board-games,own-child,35100,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,7121 Francis Lane,7,3,NO,2,3,NO,34650,7700,3850,23100,Dodge,RAM,2007,N,Young Adult,11.166666666666666,15780.063333333334,-18869.93666666667,2000,0.1735716717406498,17.833333333333336
3,256,41,227811,IL,250/500,2000,1415.74,6000000,608117,FEMALE,PhD,armed-forces,Unknown,unmarried,48900,-62400,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,6956 Maple Drive,5,1,?,1,2,NO,63400,6340,6340,50720,Chevrolet,Tahoe,2014,Y,Middle Aged,21.333333333333332,30202.453333333335,-33197.54666666666,1990,0.16824463236906698,19.666666666666668
4,228,44,367455,IL,500/1000,1000,1583.91,6000000,610706,MALE,Associate,sales,Unknown,unmarried,66000,-46000,2015-02-17,Vehicle Theft,?,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009,N,Middle Aged,19.0,30094.29,23594.29,2014,-0.8870637130475496,25.0
5,256,39,104594,OH,250/500,1000,1351.1,0,478456,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,8973 Washington St,19,3,NO,0,2,NO,64100,6410,6410,51280,Saab,95,2003,Y,Middle Aged,21.333333333333332,28823.466666666664,-35276.53333333334,2006,0.17503235998617492,17.666666666666668
6,137,34,413978,IN,250/500,1000,1333.35,0,441716,MALE,College,prof-specialty,board-games,husband,0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,5846 Weaver Drive,0,3,?,0,0,?,78650,21450,7150,50050,Nissan,Pathfinder,2012,N,Middle Aged,11.416666666666666,15222.4125,-63427.5875,2000,0.24010579915528926,22.583333333333336
7,165,37,429027,IL,100/300,1000,1137.03,0,603195,MALE,Associate,tech-support,base-jumping,unmarried,0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,3525 3rd Hwy,23,3,?,2,2,YES,51590,9380,9380,32830,Audi,A5,2015,N,Middle Aged,13.75,15634.1625,-35955.8375,1990,0.21228442434515007,23.25
8,27,33,485665,IL,100/300,500,1442.99,0,601734,FEMALE,PhD,other-service,golf,own-child,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,4872 Rock Ridge,21,1,NO,1,1,YES,27700,2770,2770,22160,Toyota,Camry,2012,N,Middle Aged,2.25,3246.7275,-24453.2725,1997,0.259500926185068,30.75
9,212,42,636550,IL,100/300,500,1315.68,0,600983,MALE,PhD,priv-house-serv,camping,wife,0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,3066 Francis Ave,14,1,NO,2,1,?,42300,4700,4700,32900,Saab,92x,1996,N,Middle Aged,17.666666666666668,23243.68,-19056.32,2011,0.14966744752519262,24.333333333333332
10,235,42,543610,OH,100/300,500,1253.12,4000000,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,?,87010,7910,15820,63280,Ford,F150,2002,N,Middle Aged,19.583333333333332,24540.266666666666,-62469.73333333334,2002,0.21762174263801676,22.416666666666668
11,447,61,214618,OH,100/300,2000,1347.15,0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,Unknown,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,A3,2006,N,Elderly,37.25,50181.3375,-64738.6625,1999,0.17833556497521363,23.75
12,60,23,842643,OH,500/1000,500,1215.36,3000000,432220,MALE,MD,protective-serv,reading,wife,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,56520,4710,9420,42390,Saab,95,2000,N,Young Adult,5.0,6076.799999999999,-50443.2,1997,0.261964056499108,18.0
13,121,34,626808,OH,100/300,1000,936.61,0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,2015-01-08,Parked Car,?,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010,N,Middle Aged,10.083333333333334,9444.150833333333,2164.150833333333,2012,-0.040325006675008365,23.916666666666664
14,180,38,644081,OH,250/500,2000,1301.13,0,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,46200,4200,8400,33600,Dodge,Neon,2003,Y,Middle Aged,15.0,19516.95,-26683.05,1998,0.18194812620316686,23.0
15,473,58,892874,IN,100/300,2000,1131.4,0,458733,FEMALE,MD,transport-moving,movies,other-relative,55700,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,MDX,1999,Y,Elderly,39.416666666666664,44596.01666666667,-18523.98333333333,1992,0.10976947403582785,18.583333333333336
16,70,26,558938,OH,500/1000,1000,1199.44,5000000,619884,MALE,College,machine-op-inspct,hiking,own-child,63600,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,?,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N,Young Adult,5.833333333333333,6996.733333333334,-45113.26666666666,2005,0.25516685504390857,20.166666666666668
17,140,31,275265,IN,500/1000,500,708.64,6000000,470610,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,2015,N,Middle Aged,11.666666666666666,8267.466666666667,-69612.53333333333,2004,0.262309458726883,19.333333333333336
18,160,37,921202,OH,500/1000,500,1374.22,0,472135,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,TL,2015,N,Middle Aged,13.333333333333334,18322.933333333334,-54607.066666666666,2014,0.2254471903147096,23.666666666666664
19,196,39,143972,IN,500/1000,2000,1475.73,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,?,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,N,Middle Aged,16.333333333333332,24103.59,-36296.41,1992,0.18788810880507575,22.666666666666668
20,460,62,183430,IN,250/500,1000,1187.96,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,?,47160,0,5240,41920,Suburu,Impreza,2011,N,Elderly,38.333333333333336,45538.46666666667,-1621.5333333333328,2002,0.04394117185315333,23.666666666666664
21,217,41,431876,IL,500/1000,2000,875.15,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,?,1,2,?,37840,0,4730,33110,Accura,RSX,1996,N,Middle Aged,18.083333333333332,15825.629166666666,-22014.370833333334,2005,0.18302031068203406,22.916666666666668
22,370,55,285496,IL,100/300,2000,1152.74,0,443920,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,71520,17880,5960,47680,Suburu,Forrestor,2000,Y,Middle Aged,30.833333333333332,35542.816666666666,-35977.183333333334,1994,0.16301474582134368,24.166666666666668
23,413,55,115399,IN,100/300,2000,1268.79,0,453148,MALE,MD,priv-house-serv,chess,own-child,0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,?,2,2,?,98160,8180,16360,73620,Dodge,RAM,2011,Y,Middle Aged,34.416666666666664,43667.5225,-54492.4775,1991,0.17625279092747245,20.583333333333336
24,237,40,736882,IN,100/300,1000,883.31,0,434733,MALE,College,craft-repair,kayaking,husband,0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,Escape,2005,N,Middle Aged,19.75,17445.3725,-60434.6275,1996,0.23236740243130014,20.25
25,8,35,699044,OH,100/300,2000,1266.92,0,613982,MALE,Masters,sales,polo,own-child,0,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,71500,16500,11000,44000,Ford,Escape,2006,Y,Middle Aged,0.6666666666666666,844.6133333333333,-70655.38666666667,2013,0.2862799481183229,34.333333333333336
26,257,43,863236,IN,100/300,2000,1322.1,0,436984,MALE,High School,prof-specialty,golf,own-child,0,-29200,2015-01-28,Parked Car,?,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,9020,1640,820,6560,Toyota,Camry,2005,N,Middle Aged,21.416666666666668,28314.975,19294.975,1990,-0.5082975278920138,21.583333333333332
